i,forum,global_ms,tenant_ms
16,android,2.630660001159413,3.238257999328198
16,android,2.290377000463195,3.215939999790862
16,android,2.5551439975970425,3.8035480029066093
16,android,2.4437669999315403,3.035981000721222
16,android,2.0763770007761195,3.1042780028656125
16,android,2.4307249987032264,3.5301499992783647
16,android,2.619214003061643,3.062053001485765
16,android,2.364430998568423,3.450367999903392
16,android,2.55840200043167,3.39657100266777
16,android,2.4219490005634725,3.2414699999208096
16,android,2.322020001884084,3.3807990002969746
16,android,2.5187920000462327,3.5135020007146522
16,android,2.310240000952035,3.0770230005146004
16,android,2.252258000225993,3.99913300134358
16,android,2.941293001640588,3.709109001647448
17,android,2.8229880008439068,3.1859529990470037
17,android,2.3345150002569426,3.1745900014357176
17,android,3.528995999658946,3.44578700241982
17,android,2.1899669991398696,2.9468789980455767
17,android,2.335612000024412,3.1536189999314956
17,android,2.5035420003405306,3.561855999578256
17,android,2.2938750007597264,2.886315000068862
17,android,2.0564829974318855,3.1748330002301373
17,android,2.8949799998372328,3.3815300012065563
17,android,2.2196720019564964,3.157690000080038
17,android,2.2171070013428107,3.1979249979485758
17,android,2.626240999234142,3.7551269997493364
17,android,2.402821999567095,2.9010090001975186
17,android,2.3051329990266822,3.278408999904059
17,android,2.3548690005554818,3.502076997392578
17,android,2.2033450004528277,3.094039999268716
17,android,1.99758400049177,3.2344269966415595
17,android,2.873109002393903,3.425206999963848
17,android,2.182786000048509,2.8951790009159595
17,android,2.1732200002588797,3.639575999841327
18,android,1.8694479986152146,2.314897999895038
18,android,1.7147380021924619,2.297013001225423
18,android,1.7896449971885886,2.5214630004484206
18,android,2.0105620023969095,3.2298500009346753
18,android,1.9099070013908204,2.2186460009834263
18,android,1.9494340012897737,2.519433000998106
18,android,2.1519930014619604,2.5766149992705323
18,android,2.441566000925377,2.3157870018621907
18,android,1.7478100016887765,2.401679001195589
18,android,1.9552090016077273,2.4454699996567797
18,android,2.049140999588417,2.617040001496207
18,android,2.0451960008358583,2.3506919969804585
18,android,1.707991999865044,2.3056629979691934
18,android,1.7570589989190921,2.5930020019586664
18,android,2.2256949996517505,3.437367999140406
18,android,2.1437659997900482,2.195776000007754
18,android,1.555204999021953,2.1146330000192393
18,android,1.8095989980793092,2.44130500141182
18,android,1.8092930004058871,2.114917999278987
18,android,1.4734560027136467,1.929677000589436
19,android,2.1134430025995243,2.808157998515526
19,android,2.180302999477135,2.5211930005752947
19,android,1.6631729995424394,2.188700997066917
19,android,1.622076000785455,2.313270997547079
19,android,1.9932209979742765,2.7288950004731305
19,android,2.9234690009616315,2.950973001134116
19,android,1.9787689998338465,2.39390700153308
19,android,1.6860180003277492,2.5619939988246188
19,android,2.1629350012517534,2.7031659992644563
19,android,2.0294109999667853,2.3050449999573175
19,android,1.752634001604747,2.145670001482358
19,android,1.7923890009114984,2.6769670002977364
19,android,2.31040000289795,2.872863999073161
19,android,1.869044001068687,2.2075529996072873
19,android,1.7066040018107742,2.2355099972628523
19,android,1.7845299989858177,2.6411200014990754
19,android,2.1326189998944756,2.710696000576718
19,android,2.0543530008581,2.536740001232829
19,android,1.6842139993968885,2.3524320022261236
19,android,2.07727900124155,2.8646329992625397
20,android,2.913651998824207,3.7119609987712465
20,android,2.3551730009785388,3.4249249983986374
20,android,2.7008279976143967,3.669162000733195
20,android,3.2856300022103824,3.849975000775885
20,android,2.6696450004237704,3.6108050007896964
20,android,2.749958999629598,3.8407270003517624
20,android,2.5112469993473496,3.512327002681559
20,android,2.7880849993380252,3.8423959995270707
20,android,2.781189999950584,3.7830710025446024
20,android,2.5348529998154845,3.844450999167748
20,android,2.788322999549564,4.022332999738865
20,android,2.715450998948654,3.570096003386425
20,android,2.4878069998521823,3.760473999136593
20,android,2.9567870005848818,3.8855500024510548
20,android,2.4269919995276723,3.821600999799557
20,android,2.7078040002379566,4.485649998969166
20,android,3.620777999458369,3.955475000111619
20,android,2.7777760005847085,3.755705001822207
20,android,3.052858999581076,3.8087710017862264
20,android,2.5217660004273057,3.7290149994078092
21,android,2.1904620007262565,2.4886399987735786
21,android,2.3153349975473247,2.8374879984767176
21,android,2.0225340012984816,2.5803770004131366
21,android,1.9496089989843313,2.4148930024239235
21,android,1.8038860034721438,2.558692001912277
21,android,2.423841000563698,3.0451120001089294
21,android,2.125213999534026,2.3981640006240923
21,android,2.1458929986692965,2.3846490003052168
21,android,1.9626829998742323,3.008525000041118
21,android,2.0122800015087705,2.5837430002866313
21,android,1.8790579997585155,2.2496109995699953
21,android,1.8682819973037113,2.398792999883881
21,android,2.1499419999599922,3.2677760027581826
21,android,2.3216029985633213,2.4545439991925377
21,android,1.8933149985969067,2.6074410016008187
21,android,1.7825450013333466,2.8848049987573177
21,android,2.194454998971196,2.775929002382327
21,android,1.8630119993758854,2.2362919989973307
21,android,1.8252250010846183,2.60412499847007
21,android,2.174888999434188,2.9532460030168295
22,android,1.7603909982426558,2.106939999066526
22,android,1.6363879985874519,2.2076570021454245
22,android,1.9746830002986826,2.6752840021799784
22,android,2.4239000013039913,2.54451300133951
22,android,1.7405590006092098,2.268419000756694
22,android,1.5408330000354908,2.084330000798218
22,android,1.9548679993022233,2.6679609982238617
22,android,2.3680690028413665,2.2802550010965206
22,android,1.6853320012160111,2.1116940006322693
22,android,1.8880729985539801,2.5175379996653646
22,android,1.9978589989477769,2.633739000884816
22,android,2.1006220013077836,2.3879840009612963
22,android,2.0250620000297204,2.148619001673069
22,android,1.6332669983967207,2.211187002103543
22,android,2.1732380009780172,2.995591999933822
22,android,2.0070130012754817,2.212524999777088
22,android,1.7586100002517924,2.3205580000649206
22,android,2.07914899874595,2.8765980023308657
22,android,2.072692001092946,2.7680899984261487
22,android,1.8354610001551919,2.404727001703577
23,android,2.233868999610422,2.6028089996543713
23,android,2.228650002507493,2.856066003005253
23,android,2.1195139997871593,2.2289779990387615
23,android,1.7576730024302378,2.3476669994124677
23,android,1.7643370010773651,2.5566619988239836
23,android,1.9111299989162944,2.5133050003205426
23,android,1.919182002893649,2.1885210007894784
23,android,1.7304490029346198,2.431921002425952
23,android,2.020995998464059,2.652053997735493
23,android,2.0204049978929106,2.7794269990408793
23,android,2.153681001800578,2.8736310014210176
23,android,2.213362000475172,2.7664810004353058
23,android,2.072354000119958,2.367285000218544
23,android,1.6374940023524687,2.1183580029173754
23,android,1.5555870013486128,2.214389998698607
23,android,2.177521000703564,2.9207620027591474
23,android,1.9661529986478854,2.3535380023531616
23,android,1.905966997583164,2.180375999159878
23,android,1.6018879978219047,2.373272000113502
23,android,2.0450390002224594,2.4510420007572975
24,android,1.6590519990131725,1.798550998501014
24,android,1.430025000445312,1.8447770016791765
24,android,1.4103439971222542,2.033269000094151
24,android,1.5320819984481204,1.9989650027127936
24,android,1.722703000268666,2.0742900014738552
24,android,1.4189339999575168,1.8933569990622345
24,android,1.4839850009593647,1.7888959991978481
24,android,1.737696999043692,1.869353000074625
24,android,1.5653139998903498,2.1066990011604503
24,android,1.7402209996362217,1.9527930016920436
24,android,1.456904999940889,1.7929929999809247
24,android,1.4189430003170855,1.8651169993972871
24,android,1.567559000250185,1.9700880002346821
24,android,1.5100299970072228,2.1336419995350298
24,android,1.7693040026642848,2.2374410000338685
24,android,1.4053300001251046,1.7648129978624638
24,android,1.4475959978881292,1.9106379986624233
24,android,1.3730110003962182,1.8842839999706484
24,android,1.8226560023322236,2.4315850023413077
24,android,1.7767890021787025,2.045696001005126
25,android,2.7731739974115044,3.2407100006821565
25,android,2.1970880006847437,3.063737000047695
25,android,2.5365779983985703,3.42459699822939
25,android,2.3394729978463147,3.0976859998190776
25,android,2.207747002103133,3.4627499990165234
25,android,2.5836999993771315,3.7822230005986057
25,android,2.584203000878915,3.165875001286622
25,android,2.1053269992989954,3.270361001341371
25,android,2.653793002536986,3.6293200028012507
25,android,2.508516001398675,3.349792998051271
25,android,2.21748299736646,3.3842240009107627
25,android,2.6124510004592594,3.409804998227628
25,android,2.997013998538023,3.446211998380022
25,android,2.9580950031231623,3.448917999776313
25,android,2.8657740003836807,3.283431000454584
25,android,2.227475000836421,3.0311449991131667
25,android,2.8737419997924007,3.579741998692043
25,android,2.6351039996370673,4.308858999138465
25,android,3.983038001024397,4.484741999476682
25,android,3.6577700011548586,4.507257999648573
26,android,2.7484099991852418,3.2203060000028927
26,android,1.9465879995550495,2.671039001143072
26,android,2.800365000439342,2.927679001004435
26,android,2.1491429979505483,2.7957099991908763
26,android,2.107698001054814,2.5519699993310496
26,android,1.9922809988202062,2.6209400020889007
26,android,2.1106940002937336,2.71667100241757
26,android,1.92963600056828,2.405606999673182
26,android,1.8541239987825975,2.4985839991131797
26,android,2.5385519984411076,3.156925999064697
26,android,2.354591000766959,2.911440999014303
26,android,2.1686539985239506,2.688230000785552
26,android,1.8580059986561537,3.021339998667827
26,android,2.1906880028836895,3.0899150006007403
26,android,2.0115220031584613,2.743033997830935
26,android,2.0753110002260655,3.3204350002051797
26,android,2.1596129990939517,3.1636540006729774
26,android,2.581578999524936,2.6840840000659227
26,android,1.8723110006249044,2.8262490013730712
26,android,2.265974999318132,3.300484000646975
27,android,2.210153001215076,3.2043440005509183
27,android,2.7422749990364537,2.8245339999557473
27,android,2.4916219990700483,3.0854380020173267
27,android,2.5331340002594516,3.959364999900572
27,android,2.5441239995416254,2.9485450031643268
27,android,2.442031996906735,3.6331400006019976
27,android,2.8822559979744256,3.624967001087498
27,android,2.6292729999113362,3.2061210004030727
27,android,2.2973759987507947,3.4403980025672354
27,android,2.424756999971578,3.3757780001906212
27,android,2.394676997937495,3.066327997657936
27,android,2.5626440001360606,3.25651399907656
27,android,2.6278830009687226,3.1362800000351854
27,android,2.335951998247765,3.130992001388222
27,android,2.1444469966809265,3.527395998389693
27,android,2.2614900008193217,3.004375997988973
27,android,2.0693980004580226,2.8520230007416103
27,android,2.44778900014353,3.355808999913279
27,android,2.4602000012237113,3.0367669969564304
27,android,2.13627099947189,2.960626003186917
28,android,2.1018609986640513,2.850427001249045
28,android,1.9019460014533252,2.3418009986926336
28,android,1.7571410025993828,2.365273001487367
28,android,2.1773469998151995,3.1587250014126766
28,android,2.532858998165466,2.693792001082329
28,android,1.8464179993316066,2.611332998640137
28,android,1.9656879994727205,2.953962000901811
28,android,2.128059000824578,2.6814150005520787
28,android,1.9323530032124836,2.5005720017361455
28,android,1.8019230010395404,2.4717750020499807
28,android,2.154781002900563,2.530746001866646
28,android,1.897414000268327,2.3656359990127385
28,android,2.0751150004798546,2.4127639990183525
28,android,1.996021001104964,2.702221001527505
28,android,2.0557279967761133,2.998724001372466
28,android,1.9700080010807142,2.4365440003748517
28,android,1.8569090025266632,2.3592670004290994
28,android,1.7203710012836382,2.374794999923324
28,android,1.7994760019064415,2.744441997492686
28,android,1.9651959992188495,2.804938001645496
29,android,2.158266997867031,2.738602001045365
29,android,1.8016149988397956,2.236557997093769
29,android,1.8244829989271238,2.2262960010266397
29,android,1.9314529999974184,3.2428110025648493
29,android,2.2953219995542895,3.205118999176193
29,android,1.8165150031563826,2.228610999736702
29,android,1.6588660000707023,2.428943000268191
29,android,2.468061000399757,3.5161670020897873
29,android,2.133514000888681,2.443138000671752
29,android,1.9362979983270634,2.8136709988757502
29,android,2.747901999100577,2.8432569997676183
29,android,1.9914639997296035,2.6701809983933344
29,android,2.228915996965952,2.612014999613166
29,android,1.938105997396633,3.2828149996930733
29,android,2.50924799911445,2.9787339990434702
29,android,2.0398130000103265,2.488058999006171
29,android,2.062171999568818,3.6885939989588223
29,android,2.5192460016114637,3.496885998174548
29,android,1.9145900005241856,2.531321999413194
29,android,2.329808001377387,2.6423000017530285
30,android,2.3273879996850155,2.548144999309443
30,android,1.8544589984230697,2.595796999230515
30,android,2.0824759994866326,2.5551389990141615
30,android,1.9171710009686649,2.6569799993012566
30,android,2.087801000016043,2.7363629997125827
30,android,2.0857189992966596,3.0177000007824972
30,android,2.5554630010447,2.875794998544734
30,android,2.1614020006381907,2.480612998624565
30,android,1.8173019998357631,2.8093839973735157
30,android,2.3493830012739636,3.026128000783501
30,android,2.071634000458289,2.4254859999928158
30,android,1.9020149993593805,2.482484000211116
30,android,2.192230000218842,2.7882329995918553
30,android,2.605534999020165,2.6567549975879956
30,android,1.8953119979414623,2.815473999362439
30,android,1.9465889999992214,2.918946000136202
30,android,2.210888000263367,2.989615000842605
30,android,2.0513359995675273,2.7289360004942864
30,android,1.9120350007142406,2.373005001572892
30,android,2.070218000881141,2.9412349977064878
31,android,1.8905650031229015,2.9697729987674393
31,android,2.8419790032785386,2.906608999182936
31,android,2.1641509993060026,2.7944720022787806
31,android,1.826757001254009,2.748356000665808
31,android,2.15849099913612,3.5666959993250202
31,android,2.4388780002482235,2.815777002979303
31,android,1.9068020010308828,2.690296998480335
31,android,2.3675410011492204,2.780195998639101
31,android,2.2026769984222483,3.165234000334749
31,android,2.330871000594925,2.758968999842182
31,android,2.2039989999029785,3.0957079979998525
31,android,2.8448140001273714,2.6678209978854284
31,android,2.1042629996372852,2.7883899965672754
31,android,3.1463129998883232,3.5786090011242777
31,android,2.1906129986746237,2.869043000828242
31,android,2.0873549983662087,2.8230320021975785
31,android,2.0484619999479037,3.19009300073958
31,android,2.6783359971886966,2.7784199992311187
31,android,1.9812099999398924,2.7787779981736094
31,android,1.9773139974859077,3.0369810010597575
32,android,1.993812998989597,3.292811001301743
32,android,2.148504998331191,3.0226119997678325
32,android,2.5008130032802,3.2968660016194917
32,android,2.213023999502184,2.9740630016021896
32,android,2.793128998746397,3.8852309990033973
32,android,2.14628599860589,2.7189869979338255
32,android,1.8172730015066918,2.5920920015778393
32,android,2.388189997873269,3.1569000020681415
32,android,2.5507829996058717,2.824267001415137
32,android,2.034460001596017,2.8069889995094854
32,android,2.1410400004242547,3.1779420023667626
32,android,2.3117090022424236,2.7517059970705304
32,android,1.9010509968211409,2.668013999937102
32,android,1.823254002374597,3.001698001753539
32,android,2.136562001396669,2.6844800013350323
32,android,2.034072000242304,2.592031996755395
32,android,1.9420730022829957,2.6107059966307133
32,android,2.5445519968343433,3.0243619985412806
32,android,2.3586200004501734,2.770242001133738
